Offset-Description  
  		         GRUNTS												     PLAYER		 ELITES                                                                                                                                                                     
0000 - type              0957                0957                0957                0957                0957                00DD                059D                059D                
0002 - 2 Bytes (Hex)     EACB                EACB                EACB                EACB                EACB                E251                E711                E711                
0004 -                   00000003            00000003            00000003            00000003            00000003            00000003            00000003            00000003            
0008 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
000C - 4 Bytes (Hex)     EAC90955            EC6B0AF7            EB4F09DB            EC6A0AF6            EC6A0AF6            FFFFFFFF            EB5309DF            EB5309DF            
0010 - type_2            02006822            02006822            02006822            02006822            02006822            02006922            02006802            02006802            
0014 - 4 Bytes (Hex)     0008A7A1            0008A7A1            0008A79B            0008A79B            0008A79B            00091D37            00091D37            00091D37            
0018 - x                 -63.31320953        -61.50376511        -48.10962677        -49.41535568        -49.41535568        -53.29629517        -53.29837418        -52.04446793        
001C - y                 13.86144543         15.20419598         24.14086533         26.74746513         26.74746513         24.70565605         16.07541656         8.238219261         
0020 - z                 1.595959544         1.805325031         3.393539906         3.657765388         3.657765388         2.775989294         2.632380247         4.260572433         
0024 - x vel             -1.164153218E-9     0                   7.858034223E-9      -0.0006108597154    -0.0006108597154    1.164153218E-10     0.0859285295        -0.06919692457      
0028 - y vel             5.42786438E-9       4.947651178E-10     9.313225746E-10     0.0001576313516     0.0001576313516     3.637978807E-12     -0.001570145367     -0.02331701852      
002C - z vel             -4.656612873E-10    0                   0                   -0.000065298751     -0.000065298751     -4.656612873E-10    0.01072380878       -0.002885606606     
0034 - Float             0.9784476161        0.9997950792        -0.1118127927       0.9609182477        0.9609182477        -0.9991996288       -0.0586518161       0.9476457238        
0038 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
003C - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0040 - Double            0.0078125           0.0078125           0.0078125           0.0078125           0.0078125           0.0078125           0.0078125           0.0078125           
0048 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
004C - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0050 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0054 - 4 Bytes           2634                2634                6031                6083                6083                6310                6020                3211                
0058 - 4 Bytes           2                   2                   1                   1                   1                   2                   1                   1                   
005C - torso x           -63.30911255        -61.50028992        -48.1054039         -49.41098785        -49.41098785        -53.29612732        -53.29750061        -52.07453156        
0060 - torso y           13.85754585         15.19977379         24.14461136         26.7438736          26.7438736          24.71479797         16.02286911         8.243512154         
0064 - torso z           1.876741409         2.085501194         3.672754765         3.939783096         3.939783096         3.126506329         2.980602026         4.590643883         
0068 - Float             0.4799999893        0.4799999893        0.4799999893        0.4799999893        0.4799999893        0.4499999881        0.4399999976        0.4399999976        
006C - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0070 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
0074 - 4 Bytes (Hex)     FFFF0003            FFFF0003            FFFF0003            FFFF0003            FFFF0003            FFFF0001            FFFF0003            FFFF0003            
0078 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
007C - 4 Bytes (Hex)     FFFFFFFF            FFFFFFFF            FFFFFFFF            FFFFFFFF            FFFFFFFF            EC700000            FFFFFFFF            FFFFFFFF            
0080 - 4 Bytes           4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          4294967295          
0084 - 4 Bytes           0                   0                   0                   0                   0                   0                   0                   0                   
